symbol,n_hours,mean_signed_spread,mean_abs_spread,pct_hours_gt_1bp,mean_sign_run_h
1000PEPE,2,-0.0002346596,0.0002346596,100.0,2.0
HYPE,2,-0.0001692704,0.0001692704,100.0,2.0
BTC,2,-8.833e-05,8.833e-05,0.0,2.0
ZEC,2,-8.33484e-05,8.33484e-05,50.0,2.0
LINK,2,-6.8475e-05,6.8475e-05,0.0,2.0
ETH,2,-3.5585e-05,3.5585e-05,0.0,2.0
ENA,2,0.0,0.0,0.0,0.0
ADA,2,0.0,0.0,0.0,0.0
DOGE,2,0.0,0.0,0.0,0.0
SOL,2,0.0,0.0,0.0,0.0
SUI,2,0.0,0.0,0.0,0.0
TRUMP,2,0.0,0.0,0.0,0.0
XRP,2,0.0,0.0,0.0,0.0
