ts_iso,ts_ms,symbol,bybit_rate_8h,hl_rate_8h_equiv,bybit_mark,hl_mark,bybit_interval_min
2026-08-20T16:05:03+00:00,1787241903756,ENA,0.0001000000,0.0001000000,0.10193,0.10199,240
2026-08-20T17:05:03+00:00,1787245503976,BTC,0.0000336500,0.0001000000,72729.9,72745.0,480
2026-08-20T17:05:03+00:00,1787245503976,ETH,0.0001000000,0.0001000000,2338.58,2339.3,480
2026-08-20T17:05:03+00:00,1787245503976,SOL,0.0001000000,0.0001000000,87.7,87.691,480
2026-08-20T17:05:03+00:00,1787245503976,HYPE,0.0001000000,0.0002402416,74.275,74.209,480
2026-08-20T17:05:03+00:00,1787245503976,XRP,0.0001000000,0.0002226584,1.3191,1.3188,480
2026-08-20T17:05:03+00:00,1787245503976,DOGE,0.0001000000,0.0003301704,0.08288,0.082895,480
2026-08-20T17:05:03+00:00,1787245503976,ZEC,0.0001000000,0.0007928472,587.52,587.7032,480
2026-08-20T17:05:03+00:00,1787245503976,1000PEPE,0.0001000000,0.0003354912,0.003197,0.003201,480
2026-08-20T17:05:03+00:00,1787245503976,ADA,0.0001000000,0.0001000000,0.1999,0.1999,480
2026-08-20T17:05:03+00:00,1787245503976,SUI,0.0001000000,0.0002737256,0.7474,0.74795,480
2026-08-20T17:05:03+00:00,1787245503976,LINK,0.0000260000,0.0001000000,10.772,10.7812,480
2026-08-20T17:05:03+00:00,1787245503976,TRUMP,0.0001000000,0.0001000000,1.691,1.6928,240
2026-08-20T17:05:03+00:00,1787245503976,ENA,0.0001000000,0.0001000000,0.10368,0.10382,240
2026-08-20T18:05:03+00:00,1787249103352,BTC,0.0000068700,0.0001000000,72571.69,72591.0,480
2026-08-20T18:05:03+00:00,1787249103352,ETH,0.0001000000,0.0001000000,2334.11,2335.1,480
2026-08-20T18:05:03+00:00,1787249103352,SOL,0.0001000000,0.0001000000,87.131,87.184,480
2026-08-20T18:05:03+00:00,1787249103352,HYPE,0.0001000000,0.0001000000,72.58,72.595,480
2026-08-20T18:05:03+00:00,1787249103352,XRP,0.0001000000,0.0001000000,1.2887,1.2899,480
2026-08-20T18:05:03+00:00,1787249103352,DOGE,0.0001000000,0.0001000000,0.08255,0.082642,480
2026-08-20T18:05:03+00:00,1787249103352,ZEC,0.0001000000,0.0004173160,569.69,569.99,480
2026-08-20T18:05:03+00:00,1787249103352,1000PEPE,0.0001000000,0.0001000000,0.003143,0.003148,480
2026-08-20T18:05:03+00:00,1787249103352,ADA,0.0001000000,0.0001000000,0.1992,0.19921,480
2026-08-20T18:05:03+00:00,1787249103352,SUI,0.0001000000,0.0001000000,0.7374,0.73787,480
2026-08-20T18:05:03+00:00,1787249103352,LINK,0.0000634400,0.0001000000,10.724,10.734,480
2026-08-20T18:05:03+00:00,1787249103352,TRUMP,0.0001000000,0.0001000000,1.671,1.6744,240
2026-08-20T18:05:03+00:00,1787249103352,ENA,0.0001000000,0.0001012976,0.10586,0.10593,240
2026-08-20T19:05:03+00:00,1787252703695,BTC,-0.0000065200,0.0001000000,72344.01,72371.0,480
2026-08-20T19:05:03+00:00,1787252703695,ETH,0.0000942800,0.0001000000,2315.9,2317.6,480
2026-08-20T19:05:03+00:00,1787252703695,SOL,0.0001000000,0.0001000000,87.091,87.125,480
2026-08-20T19:05:03+00:00,1787252703695,HYPE,0.0001000000,0.0001000000,72.334,72.357,480
2026-08-20T19:05:03+00:00,1787252703695,XRP,0.0001000000,0.0001000000,1.2316,1.2328,480
2026-08-20T19:05:03+00:00,1787252703695,DOGE,0.0001000000,0.0001000000,0.07992,0.080039,480
2026-08-20T19:05:03+00:00,1787252703695,ZEC,0.0001000000,0.0002004480,562.57,563.32,480
2026-08-20T19:05:03+00:00,1787252703695,1000PEPE,0.0001000000,0.0001000000,0.003103,0.003109,480
2026-08-20T19:05:03+00:00,1787252703695,ADA,0.0001000000,0.0001000000,0.1951,0.19522,480
2026-08-20T19:05:03+00:00,1787252703695,SUI,0.0001000000,0.0001000000,0.72524,0.72599,480
2026-08-20T19:05:03+00:00,1787252703695,LINK,-0.0000176300,0.0001000000,10.621,10.63405,480
2026-08-20T19:05:03+00:00,1787252703695,TRUMP,0.0001000000,0.0001000000,1.646,1.6496,240
2026-08-20T19:05:03+00:00,1787252703695,ENA,0.0001000000,0.0001000000,0.10813,0.108107,240
2026-08-20T20:05:04+00:00,1787256304584,BTC,-0.0000305100,0.0001000000,72672.54,72681.0,480
2026-08-20T20:05:04+00:00,1787256304584,ETH,0.0000466200,0.0001000000,2324.61,2325.14,480
2026-08-20T20:05:04+00:00,1787256304584,SOL,0.0000856800,0.0001000000,87.32,87.327,480
2026-08-20T20:05:04+00:00,1787256304584,HYPE,0.0001000000,0.0001000000,72.724,72.739,480
2026-08-20T20:05:04+00:00,1787256304584,XRP,0.0001000000,0.0001000000,1.2372,1.2377,480
2026-08-20T20:05:04+00:00,1787256304584,DOGE,0.0001000000,0.0001000000,0.07986,0.079902,480
2026-08-20T20:05:04+00:00,1787256304584,ZEC,0.0001000000,0.0005474264,573.73,574.36,480
